codCurso,Curso,Vagas,codInst
9708,Ciências do Meio Aquático,33,33,33,1110
9813,Medicina,155,155,155,1110
9847,Medicina Veterinária,56,56,56,1110
9707,Ciências do Desporto,123,124,123,1111
9548,Medicina Dentária,65,66,65,1113
9066,Criminologia,41,41,41,1114
9078,Direito,146,146,146,1114
8258,Arquitetura Paisagista,12,3,12,1201
9086,Engenharia Agronómica,34,12,34,1201
9114,Engenharia Florestal,20,2,20,1201
9129,Engenharia Zootécnica,32,32,32,1201
9752,Enologia,42,23,42,1201
9847,Medicina Veterinária,82,82,82,1201
9023,Ciências da Comunicação,60,62,60,1202
9081,Economia,40,40,40,1202
9147,Gestão,54,54,54,1202
9196,Línguas e Relações Empresariais,40,42,40,1202
9204,"Línguas, Literaturas e Culturas",35,35,35,1202
9219,Psicologia,60,60,60,1202
9238,Serviço Social,44,44,44,1202
9254,Turismo,49,50,49,1202
9803,Teatro e Artes Performativas,25,21,25,1202
9853,Educação Básica,25,12,25,1202
L092,Animação Cultural e Comunitária,30,30,30,1202
8088,Engenharia e Gestão Industrial (Preparatórios),20,20,20,1203
9052,Comunicação e Multimédia,54,55,54,1203
9089,Engenharia Civil,14,1,14,1203
9119,Engenharia Informática,105,105,105,1203
9123,Engenharia Mecânica,27,27,27,1203
9367,Engenharia Eletrotécnica e de Computadores,38,16,38,1203
9455,Engenharia Biomédica,25,22,25,1203
9011,Biologia,30,30,30,1204
9012,Biologia e Geologia,12,7,12,1204
9015,Bioquímica,50,50,50,1204
9379,Ciências do Ambiente,20,14,20,1204
9540,Bioengenharia,38,37,38,1204
9554,Ciências da Nutrição,40,40,40,1204
9707,Ciências do Desporto,100,103,100,1204
9761,Genética e Biotecnologia,58,58,58,1204
9841,Reabilitação Psicomotora,44,27,44,1204
9069,Design,29,24,29,1306
9196,Línguas e Relações Empresariais,36,40,36,1306
9219,Psicologia,30,31,30,1306
9720,"Comunicação, Cultura e Organizações",36,37,36,1306
9817,Artes Visuais,20,9,20,1306
L150,Estudos de Cultura,39,29,39,1306
9015,Bioquímica,25,18,25,1307
9119,Engenharia Informática,75,70,75,1307
A010,Engenharia Civil (ensino em inglês),20,1,20,1307
A011,Engenharia Eletrónica e Telecomunicações (ensino em inglês),20,4,20,1307
A012,Matemática (ensino em inglês),20,6,20,1307
9026,Ciências da Educação,27,25,27,1308
9081,Economia,40,10,40,1308
9147,Gestão,55,55,55,1308
9736,Educação Física e Desporto,30,31,30,1308
9853,Educação Básica,20,8,20,1308
8083,Ciclo Básico de Medicina,38,38,38,1309
9011,Biologia,20,11,20,1309
9500,Enfermagem,25,25,25,1320
9076,Direção e Gestão Hoteleira,30,32,30,1321
9069,Design,60,60,60,1501
9071,Design de Moda,60,61,60,1501
9257,Arquitetura,202,143,202,1501
G008,"Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado",50,38,50,1501
8399,Desenho,35,35,35,1502
9070,Design de Comunicação,55,56,55,1502
9072,Design de Equipamento,55,55,55,1502
9754,Escultura,55,57,55,1502
9790,Pintura,55,57,55,1502
9904,Arte Multimédia,55,57,55,1502
L010,Ciências da Arte e do Património,30,30,30,1502
9011,Biologia,174,174,174,1503
9015,Bioquímica,70,70,70,1503
9119,Engenharia Informática,105,105,105,1503
9141,Física,40,40,40,1503
9146,Geologia,84,85,84,1503
9209,Matemática,50,50,50,1503
9212,"Meteorologia, Oceanografia e Geofísica",25,25,25,1503
9223,Química,27,27,27,1503
9226,Química Tecnológica,22,22,22,1503
9368,Engenharia Física,40,40,40,1503
9381,Estatística Aplicada,32,32,32,1503
9385,Matemática Aplicada,77,77,77,1503
9811,Engenharia da Energia e do Ambiente,30,30,30,1503
9845,Engenharia Biomédica e Biofísica,40,40,40,1503
