codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0901,9813,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,MI,231,238,184.5,0
0902,8109,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),L1,22,22,132.0,0
0902,9006,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,L1,30,31,135.5,0
0902,9020,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,L1,85,89,179.0,0
0902,9023,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,L1,85,86,178.5,0
0902,9040,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,L1,20,21,145.0,0
0902,9046,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,L1,50,50,144.0,0
0902,9139,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,L1,30,31,150.5,0
0902,9145,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,L1,65,69,145.5,0
0902,9181,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,L1,50,51,169.0,0
0902,9182,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,L1,45,47,138.0,0
0902,9204,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,"Línguas, Literaturas e Culturas",L1,80,82,158.5,0
0902,9240,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,60,62,152.0,0
0902,9252,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,L1,70,74,162.5,0
0902,9448,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,L1,45,47,132.0,0
0902,9917,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,L1,20,20,127.5,0
0903,8036,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,L1,25,25,149.4,0
0903,8334,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,MI,65,65,151.4,0
0903,9015,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,L1,80,81,165.0,0
0903,9116,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,L1,25,24,114.2,1
0903,9209,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,L1,30,30,169.4,0
0903,9224,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,L1,35,35,147.2,0
