;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
364;9540;Bioengenharia;38;37;38;2018;1204;
365;9554;Ciências da Nutrição;40;40;40;2018;1204;
366;9707;Ciências do Desporto;100;103;103;2018;1204;
367;9761;Genética e Biotecnologia;58;58;58;2018;1204;
368;9841;Reabilitação Psicomotora;44;27;44;2018;1204;
369;9069;Design;29;24;29;2018;1306;
370;9196;Línguas e Relações Empresariais;36;40;40;2018;1306;
371;9219;Psicologia;30;31;31;2018;1306;
372;9720;Comunicação, Cultura e Organizações;36;37;37;2018;1306;
373;9817;Artes Visuais;20;9;20;2018;1306;
374;L150;Estudos de Cultura;39;29;39;2018;1306;
375;9015;Bioquímica;25;18;25;2018;1307;
376;9119;Engenharia Informática;75;70;75;2018;1307;
377;A010;Engenharia Civil (ensino em inglês);20;1;20;2018;1307;
378;A011;Engenharia Eletrónica e Telecomunicações (ensino em inglês);20;4;20;2018;1307;
379;A012;Matemática (ensino em inglês);20;6;20;2018;1307;
380;9026;Ciências da Educação;27;25;27;2018;1308;
381;9081;Economia;40;10;40;2018;1308;
382;9147;Gestão;55;55;55;2018;1308;
383;9736;Educação Física e Desporto;30;31;31;2018;1308;
384;9853;Educação Básica;20;8;20;2018;1308;
385;8083;Ciclo Básico de Medicina;38;38;38;2018;1309;
386;9011;Biologia;20;11;20;2018;1309;
387;9500;Enfermagem;25;25;25;2018;1320;
388;9076;Direção e Gestão Hoteleira;30;32;32;2018;1321;
389;9069;Design;60;60;60;2018;1501;
390;9071;Design de Moda;60;61;61;2018;1501;
391;9257;Arquitetura;202;143;202;2018;1501;
392;G008;Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado;50;38;50;2018;1501;
393;8399;Desenho;35;35;35;2018;1502;
394;9070;Design de Comunicação;55;56;56;2018;1502;
395;9072;Design de Equipamento;55;55;55;2018;1502;
396;9754;Escultura;55;57;57;2018;1502;
397;9790;Pintura;55;57;57;2018;1502;
398;9904;Arte Multimédia;55;57;57;2018;1502;
399;L010;Ciências da Arte e do Património;30;30;30;2018;1502;
400;9011;Biologia;174;174;174;2018;1503;
401;9015;Bioquímica;70;70;70;2018;1503;
402;9119;Engenharia Informática;105;105;105;2018;1503;
403;9141;Física;40;40;40;2018;1503;
404;9146;Geologia;84;85;85;2018;1503;
405;9209;Matemática;50;50;50;2018;1503;
406;9212;Meteorologia, Oceanografia e Geofísica;25;25;25;2018;1503;
407;9223;Química;27;27;27;2018;1503;
408;9226;Química Tecnológica;22;22;22;2018;1503;
409;9368;Engenharia Física;40;40;40;2018;1503;
410;9381;Estatística Aplicada;32;32;32;2018;1503;
411;9385;Matemática Aplicada;77;77;77;2018;1503;
412;9811;Engenharia da Energia e do Ambiente;30;30;30;2018;1503;
413;9845;Engenharia Biomédica e Biofísica;40;40;40;2018;1503;
414;L079;Tecnologias de Informação;65;65;65;2018;1503;
415;L096;Engenharia Geoespacial;20;20;20;2018;1503;
416;8358;Direito (regime pós-laboral);86;88;88;2018;1504;
417;9078;Direito;445;446;446;2018;1504;
418;9494;Ciências Farmacêuticas;209;209;209;2018;1505;
419;8104;Estudos Artísticos, variante de Artes do Espetáculo;49;49;49;2018;1506;
420;8413;Artes e Humanidades;60;61;61;2018;1506;
421;8458;Estudos Gerais;60;61;61;2018;1506;
422;9006;Arqueologia;38;38;38;2018;1506;
423;9040;Ciências da Linguagem;35;35;35;2018;1506;
424;9131;Estudos Africanos;20;21;21;2018;1506;
425;9133;Estudos Clássicos;20;20;20;2018;1506;
426;9135;Estudos Europeus;59;60;60;2018;1506;
427;9139;Filosofia;43;44;44;2018;1506;
428;9181;História;61;62;62;2018;1506;
429;9182;História da Arte;51;51;51;2018;1506;
430;9204;Línguas, Literaturas e Culturas;200;204;204;2018;1506;
431;9252;Tradução;61;61;61;2018;1506;
432;9914;Estudos Asiáticos;27;28;28;2018;1506;
433;9917;Estudos Portugueses;20;20;20;2018;1506;
434;L097;Estudos Comparatistas;20;20;20;2018;1506;
